project;watchers;stargazers;subscribers;forks;is_forked
plokhotnyuk/jsoniter-scala;399;399;17;53;false
typelevel/kittens;393;393;20;52;false
typelevel/kittens;393;393;20;52;false
non/jawn;390;390;20;59;false
typelevel/jawn;390;390;20;59;false
twilio/guardrail;384;384;31;93;false
julien-truffaut/fp-foundation;364;364;32;69;false
fp-tower/foundation;364;364;32;69;false
julien-truffaut/fp-foundation;364;364;32;69;false
akka/akka-grpc;351;351;25;86;false
akka/akka-grpc;351;351;25;86;false
tpolecat/atto;338;338;14;56;false
lemastero/scala_typeclassopedia;336;336;25;37;false
lemastero/scala_typeclassopedia;336;336;25;37;false
jmcardon/tsec;334;334;11;43;false
jmcardon/tsec;334;334;11;43;false
jmcardon/fucc;334;334;11;43;false
lightbend/migration-manager;332;332;20;49;false
lightbend/migration-manager;332;332;20;49;false
lightbend/mima;332;332;20;49;false
lightbend/mima;332;332;20;49;false
lightbend/migration-manager;332;332;20;49;false
lightbend/mima;332;332;20;49;false
vlovgr/ciris;319;319;7;34;false
vlovgr/ciris;319;319;7;34;false
japgolly/scalacss;289;289;16;48;false
typelevel/discipline;282;282;16;43;false
typelevel/discipline;282;282;16;43;false
typelevel/discipline;282;282;16;43;false
scala/scala-dist;281;281;50;238;false
scala/scala-dist;281;281;50;238;false
scala/scala-dist;281;281;50;238;false
scanamo/scanamo;277;277;41;100;false
scanamo/scanamo;277;277;41;100;false
guardian/scanamo;277;277;41;100;false
http4s/blaze;271;271;26;47;false
http4s/blaze;271;271;26;47;false
http4s/blaze;271;271;26;47;false
fthomas/json-crdt;266;266;14;15;false
fthomas/json-crdt;266;266;14;15;false
fthomas/crjdt;266;266;14;15;false
fthomas/crjdt;266;266;14;15;false
fthomas/json-crdt;266;266;14;15;false
fthomas/crjdt;266;266;14;15;false
djspiewak/gll-combinators;257;257;17;23;false
djspiewak/gll-combinators;257;257;17;23;false
gnieh/diffson;255;255;13;40;false
playframework/play-json;251;251;17;101;false
playframework/play-json;251;251;17;101;false
spotify/big-data-rosetta-code;247;247;37;27;false
spotify/big-data-rosetta-code;247;247;37;27;false
spotify/big-data-rosetta-code;247;247;37;27;false
alexarchambault/case-app;242;242;10;29;false
alexarchambault/case-app;242;242;10;29;false
ThoughtWorksInc/each;240;240;28;27;false
ThoughtWorksInc/each;240;240;28;27;false
dwijnand/sbt-dynver;240;240;8;31;false
dwijnand/sbt-dynver;240;240;8;31;false
ThoughtWorksInc/each;240;240;28;27;false
ChristopherDavenport/log4cats;239;239;6;39;false
ChristopherDavenport/log4cats;239;239;6;39;false
ChristopherDavenport/log4cats;239;239;6;39;false
typelevel/mouse;236;236;8;38;false
typelevel/mouse;236;236;8;38;false
monadless/monadless;229;229;9;17;false
monadless/monadless;229;229;9;17;false
http4s/rho;228;228;26;54;false
typelevel/cats-mtl;228;228;14;52;false
typelevel/cats-mtl;228;228;14;52;false
http4s/rho;228;228;26;54;false
http4s/rho;228;228;26;54;false
typelevel/cats-mtl;228;228;14;52;false
lightbend/paradox;227;227;23;66;false
lightbend/paradox;227;227;23;66;false
lightbend/paradox;227;227;23;66;false
alexarchambault/scalacheck-shapeless;219;219;9;30;false
alexarchambault/scalacheck-shapeless;219;219;9;30;false
ThoughtWorksInc/Dsl.scala;215;215;24;25;false
ThoughtWorksInc/Dsl.scala;215;215;24;25;false
ThoughtWorksInc/Dsl.scala;215;215;24;25;false
scala/scala-xml;213;213;37;88;false
scala/scala-xml;213;213;37;88;false
scala/scala-xml;213;213;37;88;false
nafg/reactive;213;213;21;39;false
agourlay/cornichon;212;212;14;30;false
agourlay/cornichon;212;212;14;30;false
agourlay/cornichon;212;212;14;30;false
lancewalton/treelog;203;203;8;20;false
lancewalton/treelog;203;203;8;20;false
ReactiveDesignPatterns/CodeSamples;202;202;36;85;false
ReactiveDesignPatterns/CodeSamples;202;202;36;85;false
typelevel/machinist;196;196;17;27;false
typelevel/machinist;196;196;17;27;false
typelevel/machinist;196;196;17;27;false
blemale/scaffeine;193;193;4;15;false
playframework/play-ws;190;190;16;77;false
playframework/play-ws;190;190;16;77;false
ThoughtWorksInc/Compute.scala;189;189;25;21;false
ThoughtWorksInc/Compute.scala;189;189;25;21;false
embeddedkafka/embedded-kafka;189;189;6;31;false
embeddedkafka/embedded-kafka;189;189;6;31;false
travisbrown/iteratee;186;186;8;20;false
travisbrown/iteratee;186;186;8;20;false
travisbrown/iteratee;186;186;8;20;false
sbt/sbt-bintray;181;181;5;54;false
sbt/bintray-sbt;181;181;5;54;false
sbt/sbt-bintray;181;181;5;54;false
profunktor/redis4cats;179;179;8;40;false
gvolpe/fs2-redis;179;179;8;40;false
profunktor/redis4cats;179;179;8;40;false
gvolpe/fs2-redis;179;179;8;40;false
gvolpe/fs2-redis;179;179;8;40;false
profunktor/redis4cats;179;179;8;40;false
alexarchambault/plotly-scala;178;178;14;40;false
alexarchambault/plotly-scala;178;178;14;40;false
cb372/cats-retry;176;176;5;26;false
cb372/cats-retry;176;176;5;26;false
pepegar/hammock;174;174;6;22;false
pepegar/hammock;174;174;6;22;false
sksamuel/pulsar4s;173;173;12;29;false
djspiewak/shims;173;173;10;14;false
BenFradet/spark-kafka-writer;173;173;13;67;false
BenFradet/spark-kafka-writer;173;173;13;67;false
sksamuel/pulsar4s;173;173;12;29;false
BenFradet/spark-kafka-writer;173;173;13;67;false
djspiewak/shims;173;173;10;14;false
scalaz/scalaz-distributed;169;169;26;33;false
zio/zio-keeper;169;169;26;33;false
scalaz/scalaz-ziokeeper;169;169;26;33;false
zio/zio-keeper;169;169;26;33;false
scalaz/scalaz-distributed;169;169;26;33;false
scalaz/scalaz-ziokeeper;169;169;26;33;false
japgolly/nyaya;165;165;6;19;false
underscoreio/slickless;160;160;12;19;false
underscoreio/slickless;160;160;12;19;false
olafurpg/sbt-ci-release;160;160;10;39;false
typelevel/paiges;152;152;7;26;false
johnynek/paiges;152;152;7;26;false
johnynek/paiges;152;152;7;26;false
typelevel/paiges;152;152;7;26;false
fthomas/singleton-ops;151;151;8;19;false
fthomas/singleton-ops;151;151;8;19;false
fthomas/singleton-ops;151;151;8;19;false
japgolly/scala-graal;150;150;9;2;false
picnicml/doddle-model;142;142;15;23;false
TinkoffCreditSystems/typed-schema;142;142;21;28;false
doddleml/doddle;142;142;15;23;false
inejc/doddle;142;142;15;23;false
TinkoffCreditSystems/typed-schema;142;142;21;28;false
ReactivePlatform/Pragmatic-Scala;141;141;8;58;false
ReactivePlatform/Pragmatic-Scala;141;141;8;58;false
fiadliel/fs2-grpc;140;140;11;27;false
fiadliel/fs2-grpc;140;140;11;27;false
ReactivePlatform/reactive-design-patterns-cn;138;138;15;23;true
ReactivePlatform/Reactive-Design-Patterns;138;138;15;23;true
ReactivePlatform/CodeSamples;138;138;15;23;true
ReactivePlatform/reactive-design-patterns-cn;138;138;15;23;true
ReactivePlatform/CodeSamples;138;138;15;23;true
ReactivePlatform/Reactive-Design-Patterns;138;138;15;23;true
kubukoz/sup;137;137;2;16;false
kubukoz/sup;137;137;2;16;false
scala/scala-collection-compat;131;131;26;54;false
scala/scala-collection-compat;131;131;26;54;false
scala/scala-collection-compat;131;131;26;54;false
Comcast/ip4s;130;130;9;10;false
Comcast/ip4s;130;130;9;10;false
thesamet/sbt-protoc;124;124;7;38;false
Atry/fastring;123;123;10;9;false
Atry/fastring;123;123;10;9;false
Atry/fastring;123;123;10;9;false
scala/scala-parallel-collections;122;122;24;22;false
scala/scala-parallel-collections;122;122;24;22;false
ChristopherDavenport/fuuid;121;121;2;27;false
ChristopherDavenport/fuuid;121;121;2;27;false
ChristopherDavenport/fuuid;121;121;2;27;false
japgolly/test-state;120;120;8;12;false
travisbrown/catbird;120;120;10;18;false
japgolly/test-state;120;120;8;12;false
travisbrown/catbird;120;120;10;18;false
travisbrown/catbird;120;120;10;18;false
nafg/slick-migration-api;116;116;9;20;false
nafg/slick-migration-api;116;116;9;20;false
monixio/monix-kafka;115;115;9;36;false
Monix/monix-kafka;115;115;9;36;false
monixio/monix-kafka;115;115;9;36;false
Monix/monix-kafka;115;115;9;36;false
Monix/monix-kafka;115;115;9;36;false
monix/monix-kafka;115;115;9;36;false
monixio/monix-kafka;115;115;9;36;false
monix/monix-kafka;115;115;9;36;false
monix/monix-kafka;115;115;9;36;false
profunktor/fs2-rabbit;114;114;5;37;false
profunktor/fs2-rabbit;114;114;5;37;false
gvolpe/fs2-rabbit;114;114;5;37;false
profunktor/fs2-rabbit;114;114;5;37;false
gvolpe/fs2-rabbit;114;114;5;37;false
gvolpe/fs2-rabbit;114;114;5;37;false
sbt/sbt-unidoc;112;112;18;27;false
circe/circe-fs2;111;111;6;17;false
circe/circe-fs2;111;111;6;17;false
circe/circe-fs2;111;111;6;17;false
mefellows/sbt-dotenv;109;109;3;17;false
mefellows/sbt-dotenv;109;109;3;17;false
stryker-mutator/stryker4s;107;107;7;25;false
stryker-mutator/stryker4s;107;107;7;25;false
japgolly/clear-config;107;107;5;4;false
ovotech/kafka-serialization;105;105;41;19;false
gvolpe/http4s-tracer;105;105;2;14;false
gvolpe/http4s-tracer;105;105;2;14;false
profunktor/http4s-tracer;105;105;2;14;false
eed3si9n/scala-seed;104;104;8;112;false
scala/scala-seed.g8;104;104;8;112;false
scala/scala-swing;103;103;34;41;false
circe/circe-derivation;103;103;7;21;false
circe/circe-derivation;103;103;7;21;false
